TIME;RACE TIME;MESSAGE;
18:32:44.981;2:33:13.717;;CAR 45 BLUE FLAG;
18:32:53.999;2:33:22.735;;CAR 991 BLUE FLAG;
18:32:59.879;2:33:28.615;;CAR 21 BLUE FLAG;
18:33:22.200;2:33:50.936;;CAR 45 BLUE FLAG;
18:33:31.262;2:33:59.998;;CAR 991 BLUE FLAG;
18:33:36.546;2:34:05.282;;CAR 21 BLUE FLAG;
18:33:42.937;2:34:11.673;;CAR 60 BLUE FLAG;
18:34:05.623;2:34:34.359;;CAR 991 BLUE FLAG;
18:34:07.201;2:34:35.937;;CAR 34 IGNORING BLUE FLAG UNDER INVESTIGATION;
18:34:17.036;2:34:45.772;;CAR 60 BLUE FLAG;
18:34:27.295;2:34:56.031;;CAR 21 IGNORING BLUE FLAG UNDER INVESTIGATION;
18:35:02.456;2:35:31.192;;CAR 992 TIME PENALTY 30s TRACK LIMITS;
18:36:03.385;2:36:32.121;;CAR 177 BLUE FLAG;
18:36:31.921;2:37:00.657;;Yellow flag at MSector 9;
18:36:44.096;2:37:12.832;;CAR 177 BLUE FLAG;
18:36:44.265;2:37:13.001;;CAR 222 BLUE FLAG;
18:36:44.914;2:37:13.650;;CAR 60 BLUE FLAG;
18:37:05.999;2:37:34.735;;CAR 11 BLUE FLAG;
18:37:07.541;2:37:36.277;;CAR 45 BLUE FLAG;
18:37:23.107;2:37:51.843;;CAR 992 BLUE FLAG;
18:37:26.564;2:37:55.300;;FULL COURSE YELLOW IN 20s;
18:37:36.564;2:38:05.300;;FULL COURSE YELLOW IN 10s;
18:37:42.653;2:38:11.389;;CAR 45 BLUE FLAG;
18:37:46.564;2:38:15.300;;Full course yellow deployed;
18:47:24.564;2:47:53.300;;End of minimum FCY duration;
18:47:38.024;2:48:06.760;;Safety car deployed;
18:50:23.082;2:50:51.818;;Safety Car in this Lap;
18:52:25.327;2:52:54.063;;Green flag;
18:52:35.653;2:53:04.389;;Yellow flag at MSector 15;
18:52:39.495;2:53:08.231;;Green flag at MSector 15;
18:53:22.469;2:53:51.205;;INCIDENT CAR 91 T11 NOTED;
18:54:03.416;2:54:32.152;;INCIDENT CARS 48-33 T7 NOTED;
18:54:43.461;2:55:12.197;;Yellow flag at MSector 3;
18:54:53.908;2:55:22.644;;Green flag at MSector 3;
18:54:54.441;2:55:23.177;;Yellow flag at MSector 3;
18:55:07.566;2:55:36.302;;CAR 992 BLUE FLAG;
18:55:09.333;2:55:38.069;;CAR 111 BLUE FLAG;
18:55:09.395;2:55:38.131;;CAR 111 BLUE FLAG;
18:55:13.452;2:55:42.188;;CAR 914 BLUE FLAG;
18:55:16.282;2:55:45.018;;Safety car deployed;
18:55:52.614;2:56:21.350;;INCIDENT TURN 1 NOTED;
18:58:32.875;2:59:01.611;;ALL INCIDENTS AFTER LAST SC RESTART UNDER INVESTIGATION;
19:00:34.226;3:01:02.962;;Chequered flag;
19:00:34.562;3:01:03.298;;PIT EXIT IS CLOSED;
