Nr;Driver in;Day time in;Time in;Driver out;Day time out;Time out;Nett Time;Reason;Lap In
222;Kiern Jewiss;18:30:24.746;2:30:53.482;Kiern Jewiss;18:31:46.092;2:32:14.828;1:21.346;;68
56;Lorcan Hanafin;18:34:03.591;2:34:32.327;Lorcan Hanafin;18:34:51.977;2:35:20.713;48.386;;70
177;Colin Caresani;18:34:04.409;2:34:33.145;Colin Caresani;18:35:28.007;2:35:56.743;1:23.598;;69
23;Ben Dörr;18:36:57.519;2:37:26.255;Ben Dörr;18:38:19.439;2:38:48.175;1:21.920;;72
9;Aleksei Nesov;18:37:22.646;2:37:51.382;Aleksei Nesov;18:38:44.351;2:39:13.087;1:21.705;;72
555;Lorens Lecertua;18:37:36.300;2:38:05.036;Lorens Lecertua;18:38:58.450;2:39:27.186;1:22.150;;72
98;Raffaele Marciello;18:38:57.152;2:39:25.888;Raffaele Marciello;18:39:44.741;2:40:13.477;47.589;;72
44;Tomas Pintos;18:40:19.485;2:40:48.221; ;;;;;71
87;Marvin Dienst;18:40:29.628;2:40:58.364;Marvin Dienst;18:41:53.073;2:42:21.809;1:23.445;;73
66;Rocco Mazzola;18:40:30.324;2:40:59.060;Rocco Mazzola;18:41:51.530;2:42:20.266;1:21.206;;73
25;Ezequiel Perez Companc;18:40:45.564;2:41:14.300;Ezequiel Perez Companc;18:41:47.771;2:42:16.507;1:02.207;;73
48;Lucas Auer;18:41:10.725;2:41:39.461;Lucas Auer;18:42:45.853;2:43:14.589;1:35.128;;73
992;Josh Rowledge;18:41:14.297;2:41:43.033;Josh Rowledge;18:42:36.252;2:43:04.988;1:21.955;;72
91;Huub van Eijndhoven;18:41:40.643;2:42:09.379;Huub van Eijndhoven;18:43:02.448;2:43:31.184;1:21.805;;73
25;Ezequiel Perez Companc;18:45:51.529;2:46:20.265;Ezequiel Perez Companc;18:47:14.468;2:47:43.204;1:22.939;;74
